"","x"
"1",0.070718532782621
"2",0.0321950243841371
"3",0.108463184678619
"4",0.0173345669730516
"5",0.0231249780315466
"6",0.0233958796127212
"7",0.108463184678619
"8",-0.014897511935434
"9",0.0646811159205676
"10",0.0261576075220837
"11",0.102425767816566
"12",0.0112971501109982
"13",0.0170875611694932
"14",0.0173584627506678
"15",0.102425767816566
"16",-0.0209349287974874
"17",0.0767426177850794
"18",0.0382191093865956
"19",0.114487269681078
"20",0.02335865197551
"21",0.029149063034005
"22",0.0294199646151796
"23",0.114487269681078
"24",-0.00887342693297555
"25",0.0697423387719276
"26",0.0312188303734438
"27",0.10748699066793
"28",0.0163583729623582
"29",0.0221487840208532
"30",0.0224196856020313
"31",0.10748699066793
"32",-0.0158737059461274
"33",0.049214373273756
"34",0.0106908648752722
"35",0.0869590251697581
"36",-0.00416959253581339
"37",0.00162081852268159
"38",0.00189172010385974
"39",0.0869590251697581
"40",-0.036401671444299
"41",0.0748776981856381
"42",0.0363541897871542
"43",0.112622350081637
"44",0.0214937323760687
"45",0.0272841434345636
"46",0.0275550450157382
"47",0.112622350081637
"48",-0.0107383465324169
"49",0.0767803526660842
"50",0.0382568442676003
"51",0.114525004562083
"52",0.0233963868565148
"53",0.0291867979150098
"54",0.0294576994961844
"55",0.114525004562083
"56",-0.00883569205197077
"57",0.0728072037310561
"58",0.0342836953325723
"59",0.110551855627058
"60",0.0194232379214903
"61",0.0252136489799817
"62",0.0254845505611598
"63",0.110551855627058
"64",-0.0128088409869953
"65",0.0609266340145496
"66",0.0224031256160657
"67",0.0986712859105516
"68",0.00754266820498017
"69",0.0133330792634752
"70",0.0136039808446533
"71",0.0986712859105516
"72",-0.0246894107035054
"73",0.049532256618857
"74",0.0110087482203731
"75",0.0872769085148555
"76",-0.00385170919071243
"77",0.00193870186778256
"78",0.00220960344895715
"79",0.0872769085148555
"80",-0.036083788099198
"81",0.0633590878315822
"82",0.0248355794330983
"83",0.101103739727581
"84",0.00997512202201278
"85",0.0157655330805078
"86",0.0160364346616824
"87",0.101103739727581
"88",-0.0222569568864728
"89",0.0660961304090932
"90",0.0275726220106094
"91",0.103840782305092
"92",0.0127121645995238
"93",0.0185025756580188
"94",0.0187734772391934
"95",0.103840782305092
"96",-0.0195199143089617
"97",0.0519090887880616
"98",0.0133855803895777
"99",0.0896537406840636
"100",-0.00147487702150784
"101",0.00431553403698715
"102",0.0045864356181653
"103",0.0896537406840636
"104",-0.0337069559299934
"105",0.0428442900722033
"106",0.00432078167371941
"107",0.0805889419682053
"108",-0.0105396757373661
"109",-0.00474926467887116
"110",-0.00447836309769301
"111",0.0805889419682053
"112",-0.0427717546458517
"113",0.0442241101342589
"114",0.00570060173577502
"115",0.0819687620302574
"116",-0.00915985567531052
"117",-0.00336944461681554
"118",-0.00309854303564094
"119",0.0819687620302574
"120",-0.0413919345837961
"121",0.0732170300428372
"122",0.0346935216443534
"123",0.110961681938836
"124",0.0198330642332678
"125",0.0256234752917628
"126",0.0258943768729374
"127",0.110961681938836
"128",-0.0123990146752178
"129",0.0572829290774877
"130",0.0187594206790038
"131",0.0950275809734862
"132",0.00389896326791828
"133",0.00968937432641326
"134",0.00996027590758786
"135",0.0950275809734862
"136",-0.0283331156405673
"137",0.049859299949194
"138",0.0113357915507102
"139",0.0876039518451961
"140",-0.00352466586037536
"141",0.00226574519811962
"142",0.00253664677929777
"143",0.0876039518451961
"144",-0.0357567447688609
"145",0.0579148218283372
"146",0.0193913134298533
"147",0.0956594737243357
"148",0.00453085601876779
"149",0.0103212670772628
"150",0.0105921686584374
"151",0.0956594737243357
"152",-0.0277012228897178
"153",0.0624561970336899
"154",0.023932688635206
"155",0.100200848929688
"156",0.00907223122412049
"157",0.0148626422826155
"158",0.0151335438637901
"159",0.100200848929688
"160",-0.0231598476843651
"161",0.0700136648106948
"162",0.031490156412211
"163",0.107758316706697
"164",0.0166296990011254
"165",0.0224201100596204
"166",0.0226910116407986
"167",0.107758316706697
"168",-0.0156023799073601
"169",0.0663878215285045
"170",0.0278643131300207
"171",0.104132473424507
"172",0.0130038557189351
"173",0.0187942667774301
"174",0.0190651683586083
"175",0.104132473424507
"176",-0.0192282231895504
"177",0.0604994446147238
